co_sigtap,no_sigtap,sg_procedimento
0601180216,0601180216 SINVASTATINA (J) 40 MG (POR COMPRIMIDO),SINVA40
0601180224,0601180224 SINVASTATINA (J) 5 MG (POR COMPRIMIDO),SINVA5
0601180232,0601180232 SINVASTATINA (J) 80 MG (POR COMPRIMIDO),SINVA80
0601190017,0601190017 ALFAINTERFERONA 2B 10.000.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAI2
0601190025,0601190025 ALFAINTERFERONA 2B 3.000.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAI2
0601190033,0601190033 ALFAINTERFERONA 2B 5.000.000 UI INJETAVEL (POR FRASCO-AMPOLA),ALFAI2
0601190041,0601190041 ALFAPEGINTERFERON 2B 80MCG POR FRASCO AMPOLA,ALFAP2
0601190050,0601190050 ALFAPEGINTERFERON 2A 180MCG POR SERINGA PREENCHIDA,ALFAP2
0601190068,0601190068 BETAINTERFERONA (L) 1A 12.000.000 UI (44 MCG) INJETAVEL (POR SERINGA PREENCHIDA),BETAI1
0601190076,0601190076 BETAINTERFERONA (L) 1A 6.000.000 UI (22 MCG) INJETAVEL (POR SERINGA PREENCHIDA),BETAI1
0601190084,0601190084 BETAINTERFERONA (L) 1A 6.000.000 UI (30 MCG) INJETAVEL (POR FRASCO-AMPOLA OU SERINGA PREENCHIDA),BETAI1
0601190092,0601190092 BETAINTERFERONA (L) 1B 9.600.000 UI (300MCG) INJETAVEL (POR FRASCO-AMPOLA),BETAI1
0601190106,0601190106 GLATIRAMER 20 MG INJETAVEL (POR FRASCO-AMPOLA OU SERINGA PREENCHIDA),GLATI20
0601190114,0601190114 ALFAPEGINTERFERON 2B 100MCG POR FRASCO-AMPOLA,ALFAP2
0601190122,0601190122 ALFAPEGINTERFERON 2B 120MCG POR FRASCO-AMPOLA,ALFAP2
0601200012,0601200012 AZATIOPRINA 50 MG (POR COMPRIMIDO),AZATI50
0601200020,0601200020 CICLOSPORINA 10 MG (POR CAPSULA),CICLO10
0601200039,0601200039 CICLOSPORINA 100 MG (POR CAPSULA),CICLO100
0601200047,0601200047 CICLOSPORINA 100 MG/ML SOLUCAO ORAL (POR FRASCO DE 50 ML),CICLO100
0601200055,0601200055 CICLOSPORINA 25 MG (POR CAPSULA),CICLO25
0601200063,0601200063 CICLOSPORINA 50 MG (POR CAPSULA),CICLO50
0601200071,0601200071 LEFLUNOMIDA 20 MG (POR COMPRIMIDO),LEFLU20
0601200080,0601200080 METOTREXATO 25 MG/ML INJETAVEL (POR AMPOLA DE 2 ML),METOT25
0601200098,0601200098 METOTREXATO 25 MG/ML INJETAVEL (POR AMPOLA DE 20 ML),METOT25
0601200101,0601200101 MICOFENOLATO DE MOFETILA (M) 500 MG (POR COMPRIMIDO),MICOF500
0601200110,0601200110 MICOFENOLATO DE SODIO (M) 180 MG (POR COMPRIMIDO),MICOF180
0601200128,0601200128 MICOFENOLATO DE SODIO (M) 360 MG (POR COMPRIMIDO),MICOF360
0601200136,0601200136 SIROLIMO 1 MG (POR DRAGEA),SIROL1
0601200144,0601200144 SIROLIMO 1MG/ML SOLUCAO ORAL (POR FRASCO DE 60ML),SIROL1
0601200152,0601200152 SIROLIMO 2 MG (POR DRAGEA),SIROL2
0601200160,0601200160 TACROLIMO 1 MG (POR CAPSULA),TACRO1
0601200179,0601200179 TACROLIMO 5 MG (POR CAPSULA),TACRO5
0601200187,0601200187 CICLOFOSFAMIDA 50 MG (POR DRAGEA),CICLO50
0601200195,"0601200195 EVEROLIMO 0,5 MG (POR COMPRIMIDO)",EVERO0
0601200209,0601200209 EVEROLIMO 1 MG (POR COMPRIMIDO),EVERO1
0601210018,0601210018 IMUNOGLOBULINA ANTI-HEPATITE B 100 UI INJETAVEL (POR FRASCO),IMUNO100
0601210026,0601210026 IMUNOGLOBULINA ANTI-HEPATITE B 1000 UI INJETAVEL (POR FRASCO),IMUNO1000
0601210034,0601210034 IMUNOGLOBULINA ANTI-HEPATITE B 500 UI INJETAVEL (POR FRASCO),IMUNO500
0601210042,"0601210042 IMUNOGLOBULINA HUMANA 0,5 G INJETAVEL (POR FRASCO)",IMUNO0
0601210050,"0601210050 IMUNOGLOBULINA HUMANA 1,0 G INJETAVEL (POR FRASCO)",IMUNO1
0601210069,"0601210069 IMUNOGLOBULINA HUMANA 2,5 G INJETAVEL (POR FRASCO)",IMUNO2
