co_sigtap,no_sigtap,sg_procedimento
0604620012,"0604620012 ALFACALCIDOL 0,25 MCG (POR CAPSULA)",ALFAC0
0604620020,"0604620020 ALFACALCIDOL 1,0 MCG (POR CAPSULA)",ALFAC1
0604620039,"0604620039 CALCITRIOL 0,25 MCG (POR CAPSULA)",CALCI0
0604620047,"0604620047 CALCITRIOL 1,0 MCG INJETAVEL (POR AMPOLA)",CALCI1
0604630018,0604630018 MIGLUSTATE 100 MG (POR CAPSULA),MIGLU100
0604630026,"0604630026 BIOTINA 2,5 MG CAPSULA",BIOTI2
0604630034,0604630034 ACIDO URSODESOXICOLICO 50 MG (POR COMPRIMIDO),ACIDO50
0604630042,0604630042 ACIDO URSODESOXICOLICO 150 MG (POR COMPRIMIDO),ACIDO150
0604630050,0604630050 ACIDO URSODESOXICOLICO 300 MG (POR COMPRIMIDO),ACIDO300
0604630069,0604630069 SAPROPTERINA 100 MG (POR COMPRIMIDO),SAPRO100
0604630077,0604630077 TRIENTINA 250 MG (POR CAPSULA),TRIEN250
0604640013,0604640013 BOCEPREVIR 200 MG (POR CAPSULA),BOCEP200
0604640021,0604640021 TELAPREVIR 375 MG (POR COMPRIMIDO),TELAP375
0604640030,0604640030 SIMEPREVIR 150 MG (POR CAPSULA),SIMEP150
0604650019,"0604650019 BIMATOPROSTA 0,3 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 3 ML)",BIMAT0
0604650027,"0604650027 LATANOPROSTA 0,05 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 2,5 ML)",LATAN0
0604650035,"0604650035 TRAVOPROSTA 0,04 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 2,5 ML)",TRAVO0
0604660014,0604660014 BRINZOLAMIDA 10 MG/ML SUSPENSAO OFTALMICA (POR FRASCO DE 5 ML),BRINZ10
0604660022,0604660022 DORZOLAMIDA 20 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 5 ML),DORZO20
0604660030,0604660030 ACETAZOLAMIDA 250 MG (POR COMPRIMIDO),ACETA250
0604670010,"0604670010 BRIMONIDINA 2,0 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 5 ML)",BRIMO2
0604680023,0604680023 RITUXIMABE 500 MG INJETAVEL (POR FRASCO-AMPOLA DE 50 ML) (ORIGINADOR),RITUX500
0604680031,0604680031 RITUXIMABE 500 MG INJETAVEL (POR FRASCO- AMPOLA DE 5O ML ) (BIOSSIMILAR A),RITUX500
0604680040,0604680040 RITUXIMABE 500 MG INJETAVEL (POR FRASCO AMPOLA DE 50 ML(BIOSSIMILAR B),RITUX500
0604680058,0604680058 RITUXIMABE 100 MG INJETAVEL (POR FRASCO-AMPOLA DE 10 ML (ORIGINADOR),RITUX100
0604690010,0604690010 TOCILIZUMABE 20 MG/ML INJETAVEL (POR FRASCO-AMPOLA DE 4 ML),TOCIL20
0604690029,0604690029 SECUQUINUMABE 150 MG/ML SOLUCAO INJETAVEL (POR SERINGA PREENCHIDA),SECUQ150
0604690037,"0604690037 USTEQUINUMABE 45 MG/0,5ML SOLUCAO INJETAVEL (POR SERINGA PREENCHIDA)",USTEQ45
0604690045,"0604690045 RISANQUIZUMABE 75 MG/0,83ML -SOLUCAO INJETAVEL",RISAN75
0604700016,0604700016 CALCIPOTRIOL 50 MCG/G POMADA (POR BISNAGA DE 30 G),CALCI50
0604710011,"0604710011 CLOBETASOL 0,5 MG/G CREME (POR BISNAGA DE 30 G)",CLOBE0
0604710020,"0604710020 CLOBETASOL 0,5 MG/G SOLUCAO CAPILAR (POR FRASCO DE 50 G)",CLOBE0
0604720017,0604720017 NAPROXENO 250 MG (POR COMPRIMIDO),NAPRO250
0604720025,0604720025 NAPROXENO 500 MG (POR COMPRIMIDO),NAPRO500
0604730012,0604730012 PILOCARPINA 20 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 10 ML),PILOC20
0604740018,"0604740018 TIMOLOL 5,0 MG/ML SOLUCAO OFTALMICA (POR FRASCO DE 5 ML)",TIMOL5
0604750013,0604750013 AMBRISENTANA 5MG (POR COMPRIMIDO REVESTIDO),AMBRI5
0604750021,0604750021 AMBRISENTANA 10MG (POR COMPRIMIDO REVESTIDO),AMBRI10
0604750030,"0604750030 BOSENTANA 62,5MG (POR COMPRIMIDO REVESTIDO)",BOSEN62
0604750048,0604750048 BOSENTANA 125MG (POR COMRIMIDO REVESTIDO),BOSEN125
0604760019,0604760019 SOFOSBUVIR 400 MG (POR COMPRIMIDO REVESTIDO),SOFOS400
0604760027,0604760027 DACLATASVIR 60 MG (POR COMPRIMIDO REVESTIDO),DACLA60
0604760035,0604760035 DACLATASVIR 30 MG (POR COMPRIMIDO REVESTIDO),DACLA30
0604760043,"0604760043 OMBITASVIR - 12,5 MG/VERUPREVIR 75 MG/ RITONAVIR 50 MG POR COMPRIMIDO (COM 02 COMPRIMIDOS REVESTIDOS",OMBIT12
0604760051,0604760051 LEDIPASVIR 90 MG / SOFOSBUVIR 400 MG (POR COMPRIMIDO),LEDIP90
0604760078,0604760078 GLECAPREVIR 100MG + PIBRENTASVIR 40 MG (POR COMPRIMIDO),GLECA100
0604760086,0604760086 SOFOSBUVIR 400MG + VELPATASVIR 100 MG (POR COMPRIMIDO),SOFOS400
0604770014,0604770014 CINACALCETE 30 MG (POR COMPRIMIDO),CINAC30
0604770022,0604770022 CINACALCETE 60 MG (POR COMPRIMIDO),CINAC60
0604770030,"0604770030 PARICALCITOL 5,0 MCG/ML SOLUCAO INJETAVEL (AMPOLA COM 1 ML)",PARIC5
0604780010,0604780010 INSULINA ANALOGA DE ACAO RAPIDA 100 UI/ML (TUBETES COM SISTEMAS DE APLICACAO REUTILIZAVEL),INSUL100
0604780028,0604780028 INSULINA ANALOGA DE ACAO RAPIDA 100 UI/ML (TUBETES DE 3ML) (CRIANCAS MENORES DE 4 ANOS E GRAVID,INSUL100
0604780036,0604780036 INSULINA ANALOGA DE ACAO RAPIDA 100 UI/ML (1B),INSUL100
0604780044,0604780044 INSULINA ANALOGA DE ACAO RAPIDA 100 UI/ML (SISTEMA DE APLICACAO DESCARTAVEL),INSUL100
0604780052,0604780052 INSULINA ANALOGA DE ACAO PROLONGADA DE 100 UI/ML,INSUL100
0604780060,0604780060 INSULINA ANALOGA DE ACAO PROLONGADA 100 UI/ML (1B),INSUL100
0604790015,"0604790015 NUSINERSENA 2,4MG/ML SOLUCAO INJETAVEL (POR FRASCO AMPOLA DE 5 ML)",NUSIN2
0604790023,"0604790023 RISDIPLAM 0,75 MG/ML PO PARA SOLUCAO ORAL (FRASCO 80 ML)",RISDI0
0604800010,"0604800010 ENOXAPARINA SODICA 40 MG/0,4 ML SOLUCAO INJETAVEL (POR SERINGA PREENCHIDA)",ENOXA40
0604800029,"0604800029 ENOXAPARINA SODICA 60 MG/0,6 ML SOLUCAO INJETAVEL (POR SERINGA PREENCHIDA)",ENOXA60
0604810016,0604810016 TOBRAMICINA 300MG/5 ML SOLUCAO INALATORIA (POR AMPOLA),TOBRA300
0604820011,0604820011 DAPAGLIFLOZINA 10 MG (POR COMPRIMIDO),DAPAG10
0604830017,0604830017 SACUBITRIL VALSARTANA SODICA HIDRATADA 50 MG (POR COMPRIMIDO),SACUB50
0604830025,0604830025 SACUBITRIL VALSARTANA SODICA HIDRATADA 100 MG (POR COMPRIMIDO),SACUB100
0604830033,0604830033 SACUBITRIL VALSARTANA SODICA HIDRATADA 200 MG (POR COMPRIMIDO),SACUB200
0604840012,0604840012 OMALIZUMABE 150MG SOLUCAO INJETAVEL,OMALI150
0604840020,0604840020 MEPOLIZUMABE 100 MG/ML SOLUCAO INJETAVEL,MEPOL100
0604850018,"0604850018 BROMETO DE UMECLIDINIO 62,5 MCG + TRIFENATATO DE VILANTEROL 25 MCG (PO INALANTE)",BROME62
0604850026,"0604850026 BROMETO DE TIOTROPIO MONOIDRATADO 2,5 MCG + CLORIDRATO DE OLODATEROL 2,5 MCG (SOLUCAO PARA INALAC",BROME2
0604860013,0604860013 IVACAFTOR 150 MG (POR COMPRIMIDO REVESTIDO),IVACA150
0604860021,0604860021 ELEXACAFTOR 100 MG/TEZACAFTOR 50 MG/IVACAFTOR 75 MG + IVACAFTOR 150 MG (POR COMPRIMIDO REVESTIDO),ELEXA100
0604860030,"0604860030 ELEXACAFTOR 50 MG/TEZACAFTOR 25MG/IVACAFTOR 37,5 MG+IVACAFTOR 75 MG (POR COMPRIMIDO REVESTIDO)",ELEXA50
0604870019,0604870019 BUROSUMABE 10 MG/MLSOLUCAO INJETAVEL (FRASCO-AMPOLA),BUROS10
0604870027,0604870027 BUROSUMABE 20 MG /ML SOLUCAO INJETAVEL (FRASCO- AMPOLA),BUROS20
0604870035,0604870035 BUROSUMABE 30 MG /ML SOLUCAO INJETAVEL (FRASCO- AMPOLA),BUROS30
0604870043,"0604870043 ROMOSOZUMABE 90 MG/ML SOLUCAO INJETAVEL (POR SERINGA PREENCHIDA DE 1,17 ML)",ROMOS90
