tabulador,url
"Trabalho e renda – Censos 1991, 2000 e 2010 - Razão de renda",https://tabnet.datasus.gov.br/cgi/ibge/censo/cnv/razaobr.def
"Trabalho e renda – Censos 1991, 2000 e 2010 - Proporção de pessoas com baixa renda",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/pobrezabr
"Trabalho e renda – Censos 1991, 2000 e 2010 - Proporção de crianças em situação domiciliar de baixa renda",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/crianpobrbr
"Trabalho e renda – Censos 1991, 2000 e 2010 - Taxa de desemprego",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/desemprbr
"Trabalho e renda – Censos 1991, 2000 e 2010 - Taxa de trabalho infantil",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/trabinfbr
"Trabalho e renda – Censos 1991, 2000 e 2010 - Proporção de idosos residentes em domicílios na condição de outro parente",https://datasus.saude.gov.br/trabalho-e-renda-censos-1991-2000-e-2010
"Educação – Censos 1991, 2000 e 2010 - Taxa de analfabetismo",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/alfbr
"Educação – Censos 1991, 2000 e 2010 - Escolaridade da população de 15 anos ou mais",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/escabr
"Educação – Censos 1991, 2000 e 2010 - Escolaridade da população de 18 a 24 anos",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/censo/cnv/escbbr
"População residente - Censos (1980, 1991, 2000 e 2010), Contagem (1996) e projeções intercensitárias (1981 a 2012), segundo faixa etária, sexo e situação de domicílio",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/popbr.def
População residente - Estimativas de 1992 a 2019 utilizadas pelo TCU para determinação das cotas do FPM (sem sexo e faixa etária),http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/popbr.deff
População residente - Projeção da População do Brasil por sexo e idade simples: 2000-2060,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/projpopbr.def
População residente - Projeção da População das Unidades da Federação por sexo e grupos de idade: 2000-2030,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?ibge/cnv/projpopuf.def
"População residente - Estudo de Estimativas populacionais por município, sexo e idade - 2000-2020",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?popsvs/cnv/popbr.def
"Mortalidade – 1996 a 2017, pela CID-10 - Mortalidade geral",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/obt09br.def
"Mortalidade – 1996 a 2017, pela CID-10 - Óbitos fetais",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/fet09br.def
"Mortalidade – 1996 a 2017, pela CID-10 - Óbitos infantis",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/inf09br.def
"Mortalidade – 1996 a 2017, pela CID-10 - Óbitos por causas externas",http://tabnet.datasus.gov.br/cgi/deftohtm.exe?sim/cnv/ext09br.def
Correção e redistribuição de óbitos segundo a Pesquisa de Busca Ativa - MORTALIDADE - ÓBITOS POR IDADE E SEXO CORRIGIDO PELO BUSCA ATIVA - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?obitocorr/cnv/obitocorr.def
Correção e redistribuição de óbitos segundo a Pesquisa de Busca Ativa - MORTALIDADE - REDISTRIBUIÇÃO POR CAPÍTULOS DOS ÓBITOS CORRIGIDOS PELA PESQUISA DE BUSCA ATIVA - BRASIL,http://tabnet.datasus.gov.br/cgi/deftohtm.exe?obitocorr/cnv/obitoredistr.def
Painéis de monitoramento (SVS) - Painel de monitoramento sobre nascidos vivos – 1996 até o momento atual,http://svs.aids.gov.br/dantps/centrais-de-conteudos/paineis-de-monitoramento/natalidade/nascidos-vivos/
Painéis de monitoramento (SVS) - Painel de monitoramento do excesso de cesáreas (grupos de Robson) – 1996 até o momento atual,http://svs.aids.gov.br/dantps/centrais-de-conteudos/paineis-de-monitoramento/natalidade/grupos-de-robson/
Painéis de monitoramento (SVS) - Painel de monitoramento da Regularidade no envio de dados de natalidade – 1996 até o momento atual,http://svs.aids.gov.br/dantps/centrais-de-conteudos/paineis-de-monitoramento/natalidade/regularidade/
Painéis de monitoramento (SVS) - Painel de monitoramento sobre mortalidade por causas específicas (CID10) – 1996 até o momento atual,http://svs.aids.gov.br/dantps/centrais-de-conteudos/paineis-de-monitoramento/mortalidade/cid10/
Painéis de monitoramento (SVS) - Painel de monitoramento da mortalidade prematura por Doenças Crônicas – 1996 até o momento atual,http://svs.aids.gov.br/dantps/centrais-de-conteudos/paineis-de-monitoramento/mortalidade/dcnt/
Painéis de monitoramento (SVS) - Painel de monitoramento da mortalidade Infantil e fetal – notificação e investigação – 1996 até o momento atual,http://svs.aids.gov.br/dantps/centrais-de-conteudos/paineis-de-monitoramento/mortalidade/infantil-e-fetal/
Painéis de monitoramento (SVS) - Painel de monitoramento da mortalidade de Mulher em idade fértil e materna – notificação e investigação – 1996 até o momento atual,http://svs.aids.gov.br/dantps/centrais-de-conteudos/paineis-de-monitoramento/mortalidade/materna/
