tp_diretriz,no_diretriz,co_cid_hash,ds_publicacao,ds_url
pcdt,Hipoparatireoidismo,E200 E201 E208 E892,Portaria SAS/MS nº 450 - 29/04/2016,http://conitec.gov.br/images/Protocolos/PCDT_Hipoparatireoidismo_29-04-2016.pdf
pcdt,Acromegalia,E220,Portaria Conjunta SAS/SCTIE nº 02 - 07/01/2019 (Publicada em 14/01/2019). (Retificado em 12/04/2013) ,http://conitec.gov.br/images/Protocolos/PCDT_Acromegalia.pdf
pcdt,Hiperprolactinemia,E221,Portaria SAS/MS nº 1.160 - 20/11/2015 (Publicada em 19/11/2015),http://conitec.gov.br/images/Protocolos/pcdt_hiperprolactinemia_2015.pdf
pcdt,Puberdade Precoce Central,E228,Portaria Conjunta SAS/SCTIE nº 3 - 08/06/2017 (Publicada em 09/06/2017),http://conitec.gov.br/images/Relatorios/2017/Portaria_Conjunta_03_SAS-SVS_PCDT_Puberdade_Precoce_Central_08_06_2017.pdf
pcdt,Deficiência de Hormônio do Crescimento - Hipopituitarismo,E230,Portaria Conjunta SAS/SCTIE nº 28 - 30/11/2018 (Publicada em 14/12/2018),http://conitec.gov.br/images/Protocolos/PCDT_DeficienciadoHormoniodeCrescimento_2018.pdf
pcdt,Diabetes Insípido,E232,Portaria Conjunta SAS/SCTIE nº 02 - 10/01/2018 (Publicada em 16/01/2018),http://conitec.gov.br/images/Protocolos/PCDT_DiabeteInsipido_2018.pdf
pcdt,Hiperplasia Adrenal Congênita,E250,Portaria SAS/MS nº 16 - 15/01/2010 (Publicada em 18/01/2010),http://conitec.gov.br/images/pdf/2014/abril/02/pcdt-hiperplasia-adrenal-congenita-livro-2010.pdf
pcdt,Insuficiência Adrenal Primária,E271 E274,Portaria SAS/MS nº 1.170 - 20/11/2015 (Publicada em 20/11/2015),http://conitec.gov.br/images/Protocolos/pcdt_insuficiencia-adrenal-congenita_2015.pdf
pcdt,Síndrome de Ovários Policísticos,E282 L680,Portaria SAS/MS nº 6 - 02/07/2019 (Publicada em 11/07/2019),http://conitec.gov.br/images/Protocolos/PCDT-Sindrome-dos-Ovrios-Policsticos.pdf
pcdt,Raquitismo e Osteomalácia,E550 E559 E643 E833 M830 M831 M832 M833 M838,Portaria SAS/MS nº 451 - 29/04/2016 (Publicada em 02/05/2016),http://conitec.gov.br/images/Protocolos/PCDT_Raquitismo-e-Osteomalacia.pdf
pcdt,Fenilcetonúria,E700 E701,Portaria SAS/MS nº 12 - 10/09/2019 (Publicada em 16/09/2019),http://conitec.gov.br/images/Protocolos/Portaria-Conjunta-PCDT-Fenilcetonuria_SAES.pdf
pcdt,Homocistinúria Clássica,E721,Portaria Conjunta SAES/SCTIE nº 3 - 23/01/2020 (Publicada em 23/01/2020),http://conitec.gov.br/images/Protocolos/PCDT_HomocistinriaClassica.pdf
pcdt,Doença de Gaucher,E752,Portaria Conjunta SAS/SCTIE nº 4 - 22/06/2017 (Publicada em 23/06/2017),http://conitec.gov.br/images/Protocolos/PCDT___Doenca_de_Gaucher.pdf
pcdt,Mucopolissacaridose tipo I,E760,Portaria Conjunta SAS/SCTIE nº 12 - 11/04/2018 (Publicada em 18/04/2018),http://conitec.gov.br/images/Protocolos/MUCOPOLISSACARIDOSE-TIPO-I.pdf
pcdt,Mucopolissacaridose tipo II,E761,Portaria Conjunta SAS/SCTIE nº 16 – 24/05/2018 (Publicada em 25/05/2018),http://conitec.gov.br/images/Protocolos/PCDT_MPS-II.pdf
pcdt,Mucopolissacaridose tipo IV A e Mucopolissacaridose tipo VI,E762,Portaria Conjunta SAS/SCTIE nº 19 - 05/12/2019 (Publicada em 06/12/2019); Portaria Conjunta SAS/SCTIE nº 20 - 05/12/2019 (Publicada em 06/12/2019),http://conitec.gov.br/images/Protocolos/PCDT_MucopolissacaridoseTipoIVA.pdf; http://conitec.gov.br/images/Protocolos/PCDT_MucopolissacaridoseTipoVI.pdf
pcdt,Dislipidemia para a Prevenção de Eventos Cardiovasculares e Pancreatite,E780 E781 E782 E783 E784 E785 E786 E788,Portaria Conjunta SAS/MS nº 8 - 30/06/2019 (Publicada em 07/08/2019),http://conitec.gov.br/images/Protocolos/PCDT_Dislipidemia.pdf
pcdt,Doença de Wilson,E830,Portaria Conjunta SAS/SCTIE nº 9 – 27/03/2018 (Publicada em 09/04/2018),http://conitec.gov.br/images/Protocolos/PCDT-Doenca-Wilson_2018.pdf
pcdt,Fibrose Cística - Manifestações Pulmonares,E840 E848,Portaria Conjunta SAS/SCTIE nº 8 - 15/08/2017 (Publicada em 04/09/2017),http://conitec.gov.br/images/Protocolos/PCDT_FibroseCistica_ManifestacoesPulmonares.pdf
pcdt,Fibrose Cística - Insuficiência Pancreática,E841 E848,Portaria Conjunta SAS/SCTIE nº 8 - 15/08/2017 (Publicada em 04/09/2017),http://conitec.gov.br/images/Protocolos/PCDT_FibroseCistica_InsuficienciaPancreatica.pdf
pcdt,Polineuropatia Amiloidótica Familiar,E851,Portaria Conjunta nº 22 - 02/10/2018 (Publicada em 10/10/2018),http://conitec.gov.br/images/Protocolos/PCDT_Polineuropatia_Amiloidotica_Familiar_2018.pdf
